nr,year,school,exper,union,ethn,maried,health,wage,industry,occupation,residence
212,1980,11,2,no,other,no,no,1.784471803,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
212,1981,11,3,no,other,no,no,2.179982771,Manufacturing,Operatives_and_kindred,north_east
212,1982,11,4,yes,other,no,no,1.963865384,Manufacturing,Operatives_and_kindred,north_east
212,1983,11,5,no,other,no,no,2.044932767,Manufacturing,Operatives_and_kindred,north_east
212,1984,11,6,no,other,no,no,2.012861311,Manufacturing,Clerical_and_kindred,north_east
212,1985,11,7,no,other,no,no,2.096985743,Manufacturing,Operatives_and_kindred,north_east
212,1986,11,8,no,other,yes,no,2.14396615,Manufacturing,Operatives_and_kindred,north_east
212,1987,11,9,yes,other,yes,no,2.241284366,Manufacturing,Operatives_and_kindred,north_east
218,1980,15,2,no,other,no,no,2.013313376,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
218,1981,15,3,no,other,no,no,1.962152455,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
218,1982,15,4,no,other,no,no,2.275641022,Professional_and_Related Service,Clerical_and_kindred,north_east
218,1983,15,5,no,other,yes,no,2.194917563,Business_and_Repair_Service,"Professional, Technical_and_kindred",north_east
218,1984,15,6,no,other,yes,no,2.428337298,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
218,1985,15,7,no,other,yes,no,2.723036943,Business_and_Repair_Service,Clerical_and_kindred,north_east
218,1986,15,8,no,other,yes,no,2.96639632,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
218,1987,15,9,no,other,yes,no,3.065051729,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
243,1980,12,4,no,other,no,no,1.564181321,Transportation,"Craftsmen, Foremen_and_kindred",north_east
243,1981,12,5,no,other,no,no,1.683545885,Transportation,"Managers, Officials_and_Proprietors",north_east
243,1982,12,6,no,other,no,yes,1.690503365,Public_Administration,"Managers, Officials_and_Proprietors",north_east
243,1983,12,7,no,other,yes,no,1.660871568,Public_Administration,"Managers, Officials_and_Proprietors",north_east
243,1984,12,8,no,other,yes,no,1.698050571,Public_Administration,"Managers, Officials_and_Proprietors",north_east
243,1985,12,9,no,other,yes,no,1.671768234,Public_Administration,"Managers, Officials_and_Proprietors",north_east
243,1986,12,10,no,other,yes,no,1.63571753,Public_Administration,"Managers, Officials_and_Proprietors",north_east
243,1987,12,11,no,other,yes,no,1.786970953,Transportation,"Managers, Officials_and_Proprietors",north_east
259,1980,12,3,yes,other,yes,no,2.107189577,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
259,1981,12,4,yes,other,yes,no,2.089010993,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
259,1982,12,5,yes,other,yes,no,2.042723959,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
259,1983,12,6,yes,other,yes,no,1.308155773,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
259,1984,12,7,no,other,yes,no,1.488152246,Manufacturing,Operatives_and_kindred,north_east
259,1985,12,8,no,other,yes,no,1.542818225,Construction,Operatives_and_kindred,north_east
259,1986,12,9,no,other,yes,no,1.535134721,Trade,"Craftsmen, Foremen_and_kindred",north_east
259,1987,12,10,no,other,yes,no,1.454335523,Trade,Operatives_and_kindred,north_east
260,1980,11,2,yes,other,no,no,1.629912042,Trade,Clerical_and_kindred,north_east
260,1981,11,3,yes,other,no,no,1.775113078,Trade,Laborers_and_farmers,north_east
260,1982,11,4,no,other,no,no,1.967256367,Manufacturing,Operatives_and_kindred,north_east
260,1983,11,5,no,other,yes,no,2.075186291,Manufacturing,"Professional, Technical_and_kindred",north_east
260,1984,11,6,no,other,yes,no,2.128833487,Manufacturing,"Professional, Technical_and_kindred",north_east
260,1985,11,7,no,other,yes,no,2.268419151,Manufacturing,"Professional, Technical_and_kindred",north_east
260,1986,11,8,no,other,yes,no,1.992139096,Manufacturing,Operatives_and_kindred,north_east
260,1987,11,9,no,other,yes,no,2.421554457,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
309,1980,12,3,no,other,no,no,1.786075653,Business_and_Repair_Service,Operatives_and_kindred,south
309,1981,12,4,no,other,no,no,2.280766046,Business_and_Repair_Service,Operatives_and_kindred,north_east
309,1982,12,5,no,other,no,no,2.264266229,Business_and_Repair_Service,Operatives_and_kindred,north_east
309,1983,12,6,no,other,yes,no,2.275456426,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
309,1984,12,7,no,other,yes,no,2.208132424,Business_and_Repair_Service,Operatives_and_kindred,north_east
309,1985,12,8,no,other,yes,no,2.199852417,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
309,1986,12,9,no,other,yes,yes,2.206899984,Business_and_Repair_Service,Operatives_and_kindred,north_east
309,1987,12,10,no,other,yes,no,2.476866911,Manufacturing,Operatives_and_kindred,north_east
351,1980,12,3,no,other,no,no,1.643386879,Finance,Clerical_and_kindred,north_east
351,1981,12,4,no,other,no,no,1.335580426,Finance,Clerical_and_kindred,north_east
351,1982,12,5,no,other,yes,yes,1.522817836,Finance,Clerical_and_kindred,north_east
351,1983,12,6,no,other,yes,no,1.418851363,Finance,Clerical_and_kindred,north_east
351,1984,12,7,no,other,yes,yes,0.903927473,Finance,Clerical_and_kindred,north_east
351,1985,12,8,no,other,yes,no,1.888564099,Transportation,Clerical_and_kindred,north_east
351,1986,12,9,no,other,yes,no,1.783449647,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
351,1987,12,10,no,other,yes,no,1.698008355,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
353,1980,12,3,no,other,no,no,1.838197203,Manufacturing,Operatives_and_kindred,north_east
353,1981,12,4,yes,other,no,no,1.817077277,Manufacturing,Operatives_and_kindred,north_east
353,1982,12,5,no,other,no,no,1.671740267,Trade,"Craftsmen, Foremen_and_kindred",north_east
353,1983,12,6,no,other,no,no,1.572830501,Manufacturing,Operatives_and_kindred,north_east
353,1984,12,7,no,other,no,no,1.682546384,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
353,1985,12,8,no,other,no,no,1.58364022,Construction,"Craftsmen, Foremen_and_kindred",north_east
353,1986,12,9,no,other,no,no,1.773293188,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
353,1987,12,10,no,other,no,no,1.861078925,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
383,1980,12,2,no,black,no,no,1.462888179,Manufacturing,Operatives_and_kindred,north_east
383,1981,12,3,no,black,no,no,1.570217199,Manufacturing,Operatives_and_kindred,north_east
383,1982,12,4,yes,black,no,no,1.656601814,Manufacturing,Operatives_and_kindred,north_east
383,1983,12,5,no,black,no,no,1.725410089,Manufacturing,Clerical_and_kindred,north_east
383,1984,12,6,no,black,no,no,1.772158543,Manufacturing,Clerical_and_kindred,north_east
383,1985,12,7,no,black,no,no,2.011084234,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
383,1986,12,8,no,black,no,no,1.991016671,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
383,1987,12,9,no,black,no,no,1.952050703,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
408,1980,11,2,no,other,no,no,1.652094923,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
408,1981,11,3,no,other,yes,no,1.489534984,Manufacturing,Operatives_and_kindred,north_east
408,1982,11,4,no,other,yes,no,1.881175701,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
408,1983,11,5,no,other,yes,no,2.061031623,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
408,1984,11,6,yes,other,yes,no,2.488836221,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
408,1985,11,7,yes,other,yes,no,2.43093808,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
408,1986,11,8,yes,other,yes,no,2.534560387,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
408,1987,11,9,yes,other,yes,no,2.069602509,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
424,1980,12,5,no,other,yes,no,2.16583936,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
424,1981,12,6,no,other,yes,no,2.325399771,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
424,1982,12,7,no,other,yes,no,2.383650546,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
424,1983,12,8,no,other,yes,no,2.33721163,Manufacturing,Operatives_and_kindred,north_east
424,1984,12,9,no,other,yes,no,2.412507538,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
424,1985,12,10,no,other,yes,no,2.384145919,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
424,1986,12,11,no,other,yes,no,2.352030017,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
424,1987,12,12,no,other,yes,no,2.577756603,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
464,1980,13,2,no,other,no,no,0.972626255,Trade,"Managers, Officials_and_Proprietors",north_east
464,1981,13,3,no,other,no,no,1.0031045,Trade,Sales_Workers,north_east
464,1982,13,4,no,other,yes,no,1.099635034,Trade,"Managers, Officials_and_Proprietors",north_east
464,1983,13,5,no,other,yes,no,1.214584465,Trade,Clerical_and_kindred,north_east
464,1984,13,6,no,other,yes,no,1.319241762,Trade,Operatives_and_kindred,north_east
464,1985,13,7,no,other,yes,no,1.389742483,Trade,Sales_Workers,north_east
464,1986,13,8,no,other,yes,no,1.573538012,Trade,Sales_Workers,north_east
464,1987,13,9,no,other,yes,no,1.900699718,Trade,Sales_Workers,north_east
483,1980,12,5,no,other,no,no,1.682627076,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
483,1981,12,6,no,other,no,no,1.661706341,Manufacturing,"Managers, Officials_and_Proprietors",nothern_central
483,1982,12,7,no,other,no,no,1.755041886,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
483,1983,12,8,yes,other,no,no,1.753450749,Manufacturing,Laborers_and_farmers,nothern_central
483,1984,12,9,no,other,no,no,1.618007863,Manufacturing,Operatives_and_kindred,nothern_central
483,1985,12,10,no,other,no,no,1.648178741,Manufacturing,Clerical_and_kindred,nothern_central
483,1986,12,11,no,other,no,no,1.745894213,Manufacturing,Operatives_and_kindred,nothern_central
483,1987,12,12,no,other,no,no,1.727081895,Manufacturing,Operatives_and_kindred,nothern_central
556,1980,14,2,no,other,no,no,1.939345469,Trade,Service_Workers,nothern_central
556,1981,14,3,no,other,no,no,2.120263536,Transportation,"Professional, Technical_and_kindred",nothern_central
556,1982,14,4,no,other,no,no,2.160506994,Transportation,"Professional, Technical_and_kindred",nothern_central
556,1983,14,5,no,other,no,no,2.489254115,Transportation,"Managers, Officials_and_Proprietors",nothern_central
556,1984,14,6,no,other,no,no,2.375693565,Transportation,"Professional, Technical_and_kindred",nothern_central
556,1985,14,7,no,other,no,no,2.29588671,Transportation,"Managers, Officials_and_Proprietors",nothern_central
556,1986,14,8,no,other,no,no,2.299090159,Transportation,"Professional, Technical_and_kindred",nothern_central
556,1987,14,9,no,other,no,no,2.581879365,Transportation,"Managers, Officials_and_Proprietors",nothern_central
560,1980,12,2,no,other,no,no,1.386847306,Transportation,Service_Workers,NA
560,1981,12,3,no,other,no,no,2.127581917,Transportation,Service_Workers,NA
560,1982,12,4,no,other,no,no,0.9688702,Transportation,Service_Workers,NA
560,1983,12,5,no,other,no,no,1.16359891,Trade,Sales_Workers,NA
560,1984,12,6,no,other,no,no,1.356619061,Entertainment,"Professional, Technical_and_kindred",NA
560,1985,12,7,no,other,no,no,1.41625335,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",NA
560,1986,12,8,yes,other,no,no,1.214983197,Transportation,"Managers, Officials_and_Proprietors",NA
560,1987,12,9,no,other,no,no,1.639359464,Entertainment,"Professional, Technical_and_kindred",NA
569,1980,12,2,no,other,no,no,0.683725042,Trade,"Managers, Officials_and_Proprietors",nothern_central
569,1981,12,3,no,other,no,no,1.078989018,Trade,Sales_Workers,nothern_central
569,1982,12,4,no,other,no,no,0.839635719,Trade,"Managers, Officials_and_Proprietors",nothern_central
569,1983,12,5,no,other,no,no,1.507569032,Trade,Sales_Workers,nothern_central
569,1984,12,6,no,other,no,no,1.020651747,Manufacturing,"Managers, Officials_and_Proprietors",nothern_central
569,1985,12,7,no,other,no,no,0.542597783,Trade,Sales_Workers,nothern_central
569,1986,12,8,no,other,no,no,0.114716314,Trade,Sales_Workers,nothern_central
569,1987,12,9,no,other,no,no,0.312851743,Trade,"Professional, Technical_and_kindred",nothern_central
583,1980,12,4,no,other,no,no,1.62677216,Trade,"Managers, Officials_and_Proprietors",nothern_central
583,1981,12,5,no,other,no,no,1.880875003,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
583,1982,12,6,yes,other,no,no,1.74119648,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
583,1983,12,7,yes,other,no,no,2.194788523,Manufacturing,Operatives_and_kindred,nothern_central
583,1984,12,8,no,other,yes,no,2.083836121,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
583,1985,12,9,no,other,yes,no,1.918448185,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
583,1986,12,10,no,other,yes,no,2.156713633,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
583,1987,12,11,no,other,no,no,1.985040866,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
647,1980,12,2,yes,other,no,no,1.396706272,Manufacturing,Operatives_and_kindred,nothern_central
647,1981,12,3,yes,other,yes,no,1.519825754,Manufacturing,Clerical_and_kindred,nothern_central
647,1982,12,4,yes,other,yes,no,1.509152973,Manufacturing,Clerical_and_kindred,nothern_central
647,1983,12,5,yes,other,yes,no,1.645041618,Manufacturing,Clerical_and_kindred,nothern_central
647,1984,12,6,yes,other,no,no,1.549014992,Manufacturing,Clerical_and_kindred,nothern_central
647,1985,12,7,yes,other,yes,no,1.826956289,Manufacturing,Clerical_and_kindred,nothern_central
647,1986,12,8,yes,other,yes,no,1.883680399,Public_Administration,Clerical_and_kindred,nothern_central
647,1987,12,9,yes,other,yes,no,2.023660702,Public_Administration,Clerical_and_kindred,nothern_central
658,1980,12,4,yes,other,no,no,1.73141724,Manufacturing,Clerical_and_kindred,nothern_central
658,1981,12,5,no,other,no,no,1.813758952,Manufacturing,Clerical_and_kindred,nothern_central
658,1982,12,6,yes,other,no,no,1.70004831,Manufacturing,Operatives_and_kindred,nothern_central
658,1983,12,7,yes,other,no,no,1.939648862,Manufacturing,Clerical_and_kindred,nothern_central
658,1984,12,8,no,other,no,no,1.935752711,Manufacturing,Clerical_and_kindred,nothern_central
658,1985,12,9,no,other,no,no,2.099785005,Manufacturing,Operatives_and_kindred,nothern_central
658,1986,12,10,no,other,no,no,2.192046627,Manufacturing,Clerical_and_kindred,nothern_central
658,1987,12,11,no,other,no,no,2.005143046,Trade,Clerical_and_kindred,nothern_central
684,1980,12,2,no,other,no,no,2.821782654,Manufacturing,Operatives_and_kindred,nothern_central
684,1981,12,3,no,other,no,no,2.179982771,Manufacturing,Operatives_and_kindred,nothern_central
684,1982,12,4,no,other,yes,no,2.309426625,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
684,1983,12,5,no,other,yes,no,2.25132135,Manufacturing,Operatives_and_kindred,nothern_central
684,1984,12,6,no,other,yes,no,2.352296987,Manufacturing,Operatives_and_kindred,nothern_central
684,1985,12,7,no,other,yes,no,2.313848285,Manufacturing,Laborers_and_farmers,nothern_central
684,1986,12,8,no,other,yes,no,2.253419999,Manufacturing,Laborers_and_farmers,nothern_central
684,1987,12,9,no,other,yes,no,2.405352483,Trade,"Professional, Technical_and_kindred",nothern_central
711,1980,11,2,no,other,no,no,1.232024505,Trade,Laborers_and_farmers,nothern_central
711,1981,11,3,no,other,no,no,1.366491734,Trade,Laborers_and_farmers,nothern_central
711,1982,11,4,no,other,no,no,1.690503365,Trade,"Managers, Officials_and_Proprietors",nothern_central
711,1983,11,5,no,other,no,no,1.660871568,Trade,"Craftsmen, Foremen_and_kindred",nothern_central
711,1984,11,6,no,other,no,no,1.555876082,Trade,Laborers_and_farmers,nothern_central
711,1985,11,7,no,other,no,no,-0.714125587,Trade,Sales_Workers,nothern_central
711,1986,11,8,no,other,no,no,1.468481032,Trade,Sales_Workers,nothern_central
711,1987,11,9,no,other,no,no,0.513005776,Trade,Sales_Workers,nothern_central
729,1980,13,2,yes,other,yes,no,1.959579623,Construction,Laborers_and_farmers,nothern_central
729,1981,13,3,no,other,no,no,1.893339262,Construction,Laborers_and_farmers,south
729,1982,13,4,yes,other,yes,no,3.096215812,Construction,"Managers, Officials_and_Proprietors",south
729,1983,13,5,yes,other,yes,no,1.910813312,Construction,Laborers_and_farmers,south
729,1984,13,6,no,other,yes,no,1.615264377,Manufacturing,Sales_Workers,NA
729,1985,13,7,no,other,yes,no,2.076528143,Manufacturing,Sales_Workers,NA
729,1986,13,8,no,other,yes,no,2.107539947,Trade,"Managers, Officials_and_Proprietors",NA
729,1987,13,9,no,other,yes,no,2.155585356,Manufacturing,Sales_Workers,NA
731,1980,12,4,no,other,no,no,1.655638931,Trade,"Managers, Officials_and_Proprietors",south
731,1981,12,5,no,other,yes,no,1.464255903,Agricultural,Farm_Laborers_and_Foreman,south
731,1982,12,6,no,other,yes,no,1.007827485,Agricultural,Farm_Laborers_and_Foreman,south
731,1983,12,7,no,other,yes,no,1.47794923,Agricultural,Service_Workers,south
731,1984,12,8,no,other,yes,no,0.618720212,Manufacturing,"Craftsmen, Foremen_and_kindred",south
731,1985,12,9,no,other,no,no,2.225624052,Agricultural,Laborers_and_farmers,south
731,1986,12,10,no,other,no,no,2.657730595,Personal_Service,Service_Workers,south
731,1987,12,11,no,other,no,no,2.139191546,Manufacturing,Operatives_and_kindred,south
732,1980,12,3,no,other,no,no,1.497270616,Manufacturing,Operatives_and_kindred,south
732,1981,12,4,no,other,no,no,1.601715866,Manufacturing,Operatives_and_kindred,south
732,1982,12,5,no,other,no,no,1.504842907,Manufacturing,Operatives_and_kindred,south
732,1983,12,6,no,other,no,no,1.798046799,Manufacturing,Operatives_and_kindred,south
732,1984,12,7,no,other,no,no,1.652890175,Manufacturing,Operatives_and_kindred,south
732,1985,12,8,no,other,no,no,1.763385361,Manufacturing,Operatives_and_kindred,south
